epoch,step,train_loss,val_score
0,49,2.850128650665283,
0,71,,0.9200316071510315
0,99,2.3509955406188965,
0,143,,0.9560869336128235
1,149,1.3452991247177124,
1,199,1.2128117084503174,
1,215,,0.9677562117576599
1,249,1.4703456163406372,
1,287,,0.9696547389030457
2,299,0.7431515455245972,
2,349,0.8205999135971069,
2,359,,0.977350652217865
2,399,0.7575602531433105,
2,431,,0.9768948554992676
3,449,0.45277824997901917,
3,499,0.442577600479126,
3,503,,0.9758309721946716
3,549,0.2878645658493042,
3,575,,0.9763650894165039
4,599,0.2825672924518585,
4,647,,0.9765921831130981
4,649,0.14978934824466705,
4,699,0.18653824925422668,
4,719,,0.9732030034065247
5,749,0.07273286581039429,
5,791,,0.9757949113845825
5,799,0.0683458149433136,
5,849,0.11414036899805069,
5,863,,0.9704871773719788
6,899,0.04219794645905495,
6,935,,0.975487232208252
6,949,0.03071918524801731,
6,999,0.028992461040616035,
6,1007,,0.9756246209144592
7,1049,0.009897453710436821,
7,1079,,0.9768307209014893
7,1099,0.007436011452227831,
7,1149,0.007171811535954475,
7,1151,,0.975334644317627
8,1199,0.0038220237474888563,
8,1223,,0.9764541387557983
8,1249,0.004115315154194832,
8,1295,,0.9757952094078064
9,1299,0.0034633337054401636,
9,1349,0.0023673444520682096,
9,1367,,0.9764680862426758
9,1399,0.0011627974454313517,
9,1439,,0.9759101867675781
10,1449,0.001980843488126993,
10,1499,0.0015446807956323028,
10,1511,,0.9760162234306335
10,1549,0.0011243283515796065,
10,1583,,0.9759419560432434
11,1599,0.0014647659845650196,
11,1649,0.0012173078721389174,
11,1655,,0.976300835609436
11,1699,0.0011907328153029084,
11,1727,,0.9758292436599731
12,1749,0.0018475562101230025,
12,1799,0.001289469888433814,
12,1799,,0.9761942028999329
12,1849,0.0024672651197761297,
12,1871,,0.975963294506073
13,1899,0.0024761108215898275,
13,1943,,0.9763383865356445
13,1949,0.001179743092507124,
13,1999,0.0010845900978893042,
13,2015,,0.9759703874588013
14,2049,0.0010025124065577984,
14,2087,,0.9761096835136414
14,2099,0.00144877505954355,
14,2149,0.0014755543088540435,
14,2159,,0.9761559367179871
